,Betweenness,Degree,EigenVector,Closeness
0,0.00040460849070917754,0.0012315270935960591,2.413350782825473e-184,0.00041050903119868636
1,0.09032410239507516,0.0012315270935960591,7.61032642503079e-08,0.033813084083997455
2,0.03498904815592863,0.0016420361247947454,2.1034894061437425e-09,0.036107474211332986
3,0.02450752322923607,0.0012315270935960591,2.5342267863607596e-09,0.03575990872017072
4,0.11045606243993976,0.0012315270935960591,9.6262006232278e-06,0.030784780867625258
5,0.10960590650017461,0.0012315270935960591,3.0108275201478046e-06,0.029862465149706873
6,0.03261631850731686,0.0012315270935960591,9.496280217181816e-07,0.03545460765288352
7,0.03089316716717131,0.0012315270935960591,1.537411994707299e-05,0.042667501266270405
8,0.03336230639932843,0.0012315270935960591,2.205596168103163e-09,0.03614014967289794
9,0.02450381431807123,0.0012315270935960591,7.761826968786979e-10,0.034517908951748534
10,0.005257340382273457,0.0012315270935960591,2.576953088568909e-08,0.03431277767835378
11,0.021230195519548353,0.0016420361247947454,4.624489213431403e-09,0.034011301362807014
12,0.01911767932664467,0.0012315270935960591,8.034977601788518e-11,0.032285051046396195
13,0.10780141296435732,0.0012315270935960591,5.156964562785459e-07,0.03209005227819043
14,0.08195469574259974,0.0016420361247947454,0.0001188125780298173,0.03637164850656465
15,0.10411908778117435,0.0012315270935960591,1.6427433930220122e-06,0.03162209440597136
16,0.06463928915541915,0.0012315270935960591,5.136351423832712e-07,0.030655206340593353
17,0.003920359819100769,0.0012315270935960591,5.021401433225635e-08,0.028888591278708537
18,0.0024246437506750397,0.0012315270935960591,2.1300746714927242e-08,0.030194362302634635
19,0.10780512187552216,0.0012315270935960591,1.6493027511068555e-06,0.03315067865154715
20,0.08800896214458806,0.0012315270935960591,7.765460831846486e-07,0.03622812179453712
21,0.03459893325003167,0.0016420361247947454,6.970093523944534e-10,0.035540324284903516
22,0.024164815829069933,0.0024630541871921183,8.90039168246431e-09,0.034724501175458
23,0.01603751976200346,0.0016420361247947454,1.1164960105729794e-09,0.03431965802449877
24,0.0012397544633374915,0.0024630541871921183,1.7410954714772893e-08,0.03344309346414436
25,6.315867673650004e-05,0.0024630541871921183,2.5646179243306162e-08,0.033900628216695615
26,0.012300981276483462,0.0016420361247947454,2.480796146085957e-07,0.036856693332294764
27,0.0045390961942819155,0.0012315270935960591,3.5063534859365406e-11,0.028805590060738597
28,0.006203018914114532,0.0012315270935960591,5.891176196325831e-09,0.032274179780352345
29,0.004287489501687998,0.0012315270935960591,2.2835033638671307e-10,0.02954616214272037
30,0.0017219931416884722,0.0012315270935960591,9.813313493499153e-11,0.030176870228357255
31,0.002181174262682644,0.0016420361247947454,1.4773343968298935e-10,0.030766203197263583
32,0.09087280468655747,0.0012315270935960591,2.3575301221160826e-06,0.037990331894986434
33,0.02804048755597592,0.0012315270935960591,3.6844832714105625e-05,0.03784871351012462
34,0.00800333797206996,0.0016420361247947454,3.0848124191260535e-10,0.02865642397613499
35,0.010727651709920686,0.0024630541871921183,6.705239124882843e-09,0.03099343185550082
36,0.04491605681792329,0.003284072249589491,1.0968463941783387e-07,0.035014747323841994
37,0.005533660480006085,0.0024630541871921183,1.452882354551396e-10,0.027937089933688698
38,0.004397116618360573,0.0024630541871921183,2.547456885066162e-09,0.030029001862428465
